Date : 2024-03-29 01:22:49
Directory : c:\Users\35170\Desktop\+\Flutter\grade2
Total : 47 files,  2628 codes, 381 comments, 276 blanks, all 3285 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| android\app\src\main\res\layout                                                                                             |          1 |         84 |          8 |          2 |         94 |
| android\app\src\main\res\xml                                                                                                |          1 |          9 |         10 |          1 |         20 |
| android\app\src\profile                                                                                                     |          1 |         -1 |          0 |          0 |         -1 |
| ios                                                                                                                         |          3 |         20 |          2 |          7 |         29 |
| ios\Runner                                                                                                                  |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                                             |          1 |          7 |          2 |          4 |         13 |
| lib                                                                                                                         |          7 |      1,231 |        202 |         33 |      1,466 |
| lib (Files)                                                                                                                 |          4 |        522 |        109 |         22 |        653 |
| lib\Common                                                                                                                  |          1 |          0 |          0 |          2 |          2 |
| lib\tree                                                                                                                    |          2 |        709 |         93 |          9 |        811 |
| linux                                                                                                                       |          6 |        122 |         27 |         44 |        193 |
| linux (Files)                                                                                                               |          3 |         86 |         18 |         27 |        131 |
| linux\flutter                                                                                                               |          3 |         36 |          9 |         17 |         62 |
| macos                                                                                                                       |          6 |        450 |          5 |         16 |        471 |
| macos\Flutter                                                                                                               |          1 |         12 |          3 |          4 |         19 |
| macos\Runner                                                                                                                |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                                                        |          2 |         20 |          0 |          6 |         26 |
| macos\RunnerTests                                                                                                           |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                                                |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                             |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                                     |          1 |        343 |          0 |          1 |        344 |
| web                                                                                                                         |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                                                     |         11 |        466 |         94 |        149 |        709 |
| windows\flutter                                                                                                             |          3 |         38 |          9 |         17 |         64 |
| windows\runner                                                                                                              |          8 |        428 |         85 |        132 |        645 |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                    | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\35170\Desktop\+\Flutter\grade2\android\app\build.gradle                                                            | Gradle   |          4 |          1 |          1 |          6 |
| c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\main\AndroidManifest.xml                                            | XML      |         14 |          1 |         -1 |         14 |
| c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\main\java\com\example\xiaonaoweisuo\grade2\grade2\MainActivity.java | Java     |         -4 |          0 |         -3 |         -7 |
| c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\main\kotlin\ink\xiaonaoweisuo\grade\MainActivity.kt                 | Kotlin   |          4 |          0 |          3 |          7 |
| c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\main\kotlin\ink\xiaonaoweisuo\grade\WidgetProvider.kt               | Kotlin   |        139 |         14 |         16 |        169 |
| c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\main\res\drawable\second.xml                                        | XML      |          6 |          0 |          1 |          7 |
| c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\main\res\drawable\widget_background.xml                             | XML      |          6 |          0 |          1 |          7 |
| c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\main\res\layout\app_widget.xml                                      | XML      |         84 |          8 |          2 |         94 |
| c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\main\res\xml\app_widget.xml                                         | XML      |          9 |         10 |          1 |         20 |
| c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\profile\AndroidManifest.xml                                         | XML      |         -1 |          0 |          0 |         -1 |
| c:\Users\35170\Desktop\+\Flutter\grade2\android\build.gradle                                                                | Gradle   |          0 |          0 |          1 |          1 |
| c:\Users\35170\Desktop\+\Flutter\grade2\ios\RunnerTests\RunnerTests.swift                                                   | Swift    |          7 |          2 |          4 |         13 |
| c:\Users\35170\Desktop\+\Flutter\grade2\ios\Runner\AppDelegate.swift                                                        | Swift    |         12 |          0 |          2 |         14 |
| c:\Users\35170\Desktop\+\Flutter\grade2\ios\Runner\Runner-Bridging-Header.h                                                 | C++      |          1 |          0 |          1 |          2 |
| c:\Users\35170\Desktop\+\Flutter\grade2\lib\Common\Notifications.dart                                                       | Dart     |          0 |          0 |          2 |          2 |
| c:\Users\35170\Desktop\+\Flutter\grade2\lib\function.dart                                                                   | Dart     |        -21 |         15 |         -2 |         -8 |
| c:\Users\35170\Desktop\+\Flutter\grade2\lib\login.dart                                                                      | Dart     |        301 |         26 |         19 |        346 |
| c:\Users\35170\Desktop\+\Flutter\grade2\lib\main.dart                                                                       | Dart     |        337 |         53 |         15 |        405 |
| c:\Users\35170\Desktop\+\Flutter\grade2\lib\topbar.dart                                                                     | Dart     |        -95 |         15 |        -10 |        -90 |
| c:\Users\35170\Desktop\+\Flutter\grade2\lib\tree\Wechat.dart                                                                | Dart     |         37 |          0 |          4 |         41 |
| c:\Users\35170\Desktop\+\Flutter\grade2\lib\tree\pages.dart                                                                 | Dart     |        672 |         93 |          5 |        770 |
| c:\Users\35170\Desktop\+\Flutter\grade2\linux\flutter\generated_plugin_registrant.cc                                        | C++      |         11 |          4 |          5 |         20 |
| c:\Users\35170\Desktop\+\Flutter\grade2\linux\flutter\generated_plugin_registrant.h                                         | C++      |          5 |          5 |          6 |         16 |
| c:\Users\35170\Desktop\+\Flutter\grade2\linux\flutter\generated_plugins.cmake                                               | CMake    |         20 |          0 |          6 |         26 |
| c:\Users\35170\Desktop\+\Flutter\grade2\linux\main.cc                                                                       | C++      |          5 |          0 |          2 |          7 |
| c:\Users\35170\Desktop\+\Flutter\grade2\linux\my_application.cc                                                             | C++      |         74 |         11 |         20 |        105 |
| c:\Users\35170\Desktop\+\Flutter\grade2\linux\my_application.h                                                              | C++      |          7 |          7 |          5 |         19 |
| c:\Users\35170\Desktop\+\Flutter\grade2\macos\Flutter\GeneratedPluginRegistrant.swift                                       | Swift    |         12 |          3 |          4 |         19 |
| c:\Users\35170\Desktop\+\Flutter\grade2\macos\RunnerTests\RunnerTests.swift                                                 | Swift    |          7 |          2 |          4 |         13 |
| c:\Users\35170\Desktop\+\Flutter\grade2\macos\Runner\AppDelegate.swift                                                      | Swift    |          8 |          0 |          2 |         10 |
| c:\Users\35170\Desktop\+\Flutter\grade2\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                       | JSON     |         68 |          0 |          1 |         69 |
| c:\Users\35170\Desktop\+\Flutter\grade2\macos\Runner\Base.lproj\MainMenu.xib                                                | XML      |        343 |          0 |          1 |        344 |
| c:\Users\35170\Desktop\+\Flutter\grade2\macos\Runner\MainFlutterWindow.swift                                                | Swift    |         12 |          0 |          4 |         16 |
| c:\Users\35170\Desktop\+\Flutter\grade2\pubspec.yaml                                                                        | YAML     |          5 |          1 |         -2 |          4 |
| c:\Users\35170\Desktop\+\Flutter\grade2\web\index.html                                                                      | HTML     |         38 |         16 |          6 |         60 |
| c:\Users\35170\Desktop\+\Flutter\grade2\web\manifest.json                                                                   | JSON     |         35 |          0 |          1 |         36 |
| c:\Users\35170\Desktop\+\Flutter\grade2\windows\flutter\generated_plugin_registrant.cc                                      | C++      |         12 |          4 |          5 |         21 |
| c:\Users\35170\Desktop\+\Flutter\grade2\windows\flutter\generated_plugin_registrant.h                                       | C++      |          5 |          5 |          6 |         16 |
| c:\Users\35170\Desktop\+\Flutter\grade2\windows\flutter\generated_plugins.cmake                                             | CMake    |         21 |          0 |          6 |         27 |
| c:\Users\35170\Desktop\+\Flutter\grade2\windows\runner\flutter_window.cpp                                                   | C++      |         49 |          7 |         16 |         72 |
| c:\Users\35170\Desktop\+\Flutter\grade2\windows\runner\flutter_window.h                                                     | C++      |         20 |          5 |          9 |         34 |
| c:\Users\35170\Desktop\+\Flutter\grade2\windows\runner\main.cpp                                                             | C++      |         30 |          4 |         10 |         44 |
| c:\Users\35170\Desktop\+\Flutter\grade2\windows\runner\resource.h                                                           | C++      |          9 |          6 |          2 |         17 |
| c:\Users\35170\Desktop\+\Flutter\grade2\windows\runner\utils.cpp                                                            | C++      |         54 |          2 |         10 |         66 |
| c:\Users\35170\Desktop\+\Flutter\grade2\windows\runner\utils.h                                                              | C++      |          8 |          6 |          6 |         20 |
| c:\Users\35170\Desktop\+\Flutter\grade2\windows\runner\win32_window.cpp                                                     | C++      |        210 |         24 |         55 |        289 |
| c:\Users\35170\Desktop\+\Flutter\grade2\windows\runner\win32_window.h                                                       | C++      |         48 |         31 |         24 |        103 |
| Total                                                                                                                       |          |      2,628 |        381 |        276 |      3,285 |
+-----------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
